,emptyTran,negaTran,posiTran,mixTran,neuTran,PosAndNeg,MixAndPos,MixAndNeg,MixAndNeu,NeuAndPos,NeuAndNeg,EmptyAndPos,EmptyAndNeg,EmptyAndMix,EmptyAndNeu,allPosts,ope,con,ext,agr,neu,swl,CESD_sum
NeuAndNeg,-0.5474057435926244,0.5801816900406584,-0.15449271023695507,0.16499625976271073,0.47512167846682657,0.2833423233618485,0.1101602223457765,0.3119906324753405,0.44175937949881877,0.3238122710201255,1.0,-0.5222034943672635,-0.11272959652888455,-0.19385728921567236,0.14886592088087353,,0.033487302646044256,-0.07698975765722822,-0.17241448491426015,-0.23337703675955376,-0.04839808975497243,-0.07575585445445691,0.11317706041802293
EmptyAndPos,0.2517847620537583,-0.5407501578211723,0.008214928504963312,-0.28088556792507874,-0.48302485924961264,-0.3485730906137227,-0.1617500373577672,-0.3410169515668281,-0.3113014185349449,-0.27759493155853715,-0.5222034943672635,1.0,0.03779490179595189,0.06307519249091272,-0.07243728096108762,,0.16951914628205988,0.15725850339436284,0.2905271857963239,0.2287858743783559,-0.2207007025722126,0.016928152274881137,-0.19986021962422823
EmptyAndNeg,0.2849622782125412,-0.09005001512920002,-0.4989654826370674,-0.28625940985421494,-0.17545028657183492,-0.31685001396463225,-0.29265780149151266,-0.2813071992145899,-0.22893391704656618,-0.12440595985654998,-0.11272959652888455,0.03779490179595189,1.0,0.24439887252389386,0.13614480795925507,,-0.0027326984122544914,-0.0047141689774774,-0.0445088802869774,-0.03985105083340266,-0.03248965366477732,0.16312534199676743,0.0044017634218250674
EmptyAndMix,0.23523526687459298,-0.2927684333087574,-0.2923181779245211,-0.07640446092870315,-0.255157218949252,-0.3804354031734572,0.054059718390124405,0.08314458616482025,-0.003444890791762128,-0.1624244433486661,-0.19385728921567236,0.06307519249091272,0.24439887252389386,1.0,0.18018758084219721,,0.12995948602516172,0.15375968969652,0.002448811558384337,0.28965907328093815,-0.2307797232733532,-0.020354991929192476,-0.10828542951577261
EmptyAndNeu,0.1202997998960551,-0.20199531729249068,-0.4684014698119447,-0.19455668836051346,0.24156239420702919,-0.36072990827263296,-0.09651325308808281,-0.14066212694182245,0.10528888714447214,0.029747503738511476,0.14886592088087353,-0.07243728096108762,0.13614480795925507,0.18018758084219721,1.0,,0.03183140476281483,-0.14761374001327032,-0.17597151060080188,-0.1326486445147838,-0.12695352612963123,0.17535222866397618,-0.02842698840718905
allPosts,,,,,,,,,,,,,,,,,,,,,,,
ope,0.09123481495745804,-0.16547360210294218,-0.1734983454606685,-0.15776461558143726,-0.05166490329833609,-0.13832569431985586,-0.0718562019216433,-0.07654522116467465,0.11153826008045414,0.007197951908458319,0.033487302646044256,0.16951914628205988,-0.0027326984122544914,0.12995948602516172,0.03183140476281483,,1.0,-0.08561975776733742,0.29400918930410436,0.03767885909450374,-0.19309013981031084,-0.06982202331515071,-0.19616926020013922
con,-0.056707817393379045,0.013530284881662915,0.0899110971097417,-0.09454986124211673,-0.1547496783709849,0.10550167132615397,-0.001037817822514582,-0.007442973871551208,-0.1416397350040334,-0.07401383823618042,-0.07698975765722822,0.15725850339436284,-0.0047141689774774,0.15375968969652,-0.14761374001327032,,-0.08561975776733742,1.0,0.18750293290496825,0.14791480527838802,-0.36189513157502273,0.4097620139982853,-0.39302728114012436
ext,0.04192085669218865,-0.1199158293489424,0.15715666522834018,-0.09715477870757656,-0.19338127370465147,-0.05834353898957937,-0.027523507386167732,-0.12295679279508262,-0.08864186222556449,-0.09367570356997884,-0.17241448491426015,0.2905271857963239,-0.0445088802869774,0.002448811558384337,-0.17597151060080188,,0.29400918930410436,0.18750293290496825,1.0,0.2244123454257584,-0.3378899802749834,0.20997590612150074,-0.3423655977474752
agr,0.14109315372245823,-0.3691437828100733,0.0289353860999629,0.021697506888957708,-0.15016859418214928,-0.22093836083095358,0.07765007119886268,0.043708957581024416,0.040371275687063966,-0.03595678701716452,-0.23337703675955376,0.2287858743783559,-0.03985105083340266,0.28965907328093815,-0.1326486445147838,,0.03767885909450374,0.14791480527838802,0.2244123454257584,1.0,-0.28776066707561754,0.2335243585614438,-0.20886467861119723
