,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
5b1eb32579450829ec8faab4d3472ffb,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,2,1,4,-1,-1,1,-1,-1,1,-1,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,3,2,-1,-1,-1,-1,-1,4,-1,-1,2,4,-1,2,3,1,-1,2,-1,4,2,4,4,-1,-1,-1
5c31d7d80e78643cd5289acec0561d77,-1,2,1,-1,-1,-1,-1,1,-1,1,-1,1,-1,-1,-1,4,-1,-1,-1,-1,-1,4,-1,-1,1,-1,-1,-1,3,4,4,1,1,-1,3,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5cc136477bfe3fcfe809dc451e4243ef,-1,4,4,-1,2,-1,-1,3,-1,-1,4,4,1,3,1,-1,4,-1,4,-1,1,-1,2,1,1,1,1,1,3,1,4,1,1,-1,-1,4,2,4,4,1,1,-1,2,-1,4,2,1,1,3,1,-1,-1,1,-1,-1,-1,-1,1,-1,-1
5fcf46eb6809a240af3ab9bcb4f2b92f,4,2,-1,1,-1,1,4,-1,-1,2,1,-1,-1,2,3,-1,-1,-1,2,-1,1,-1,2,-1,-1,2,-1,-1,1,-1,-1,-1,-1,-1,4,4,1,-1,1,-1,1,2,4,-1,-1,1,4,1,-1,1,-1,-1,-1,-1,-1,1,1,-1,-1,-1
61e7f6145fd03d709cabbde3faf33412,-1,-1,4,-1,4,-1,1,-1,2,-1,-1,-1,-1,-1,1,3,2,-1,-1,-1,3,3,4,4,-1,1,4,1,-1,1,2,1,2,-1,-1,4,-1,1,-1,-1,-1,1,-1,1,-1,-1,1,3,3,1,1,-1,2,-1,2,3,-1,-1,2,-1
64463aa93c9145fa0724a9e89ea7be2a,2,-1,-1,-1,3,-1,-1,1,1,-1,-1,-1,-1,4,1,-1,1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,2,-1,3,-1,1,-1,-1,-1,-1,-1,-1,-1,1,2,-1,-1,-1,-1,-1,2,2,-1,-1,-1,-1,3,-1,1
66495ec54feb9e2399db05a67a80f2c6,-1,-1,1,-1,-1,1,-1,-1,-1,3,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,4,-1,2,-1,2,4,3,2,-1,-1,2,-1,1,-1,2,2,-1,-1,2,-1,-1,-1,-1,-1,-1,2,-1,2,2,-1,-1,2,-1,1,2,1,1,-1,-1,-1
6665bcd5e5324938fdbb5ea467fb5e3f,2,2,-1,-1,-1,4,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,2,2,2,1,2,-1,-1,2,1,-1,-1,-1,2,-1,-1,-1,-1,1,1,1,1,1,-1,-1
7175a46eaf9d0a6e00c562bfaa614360,4,1,2,-1,1,-1,-1,-1,4,1,4,1,2,-1,-1,2,-1,-1,-1,2,4,-1,2,4,1,-1,3,-1,2,-1,1,1,-1,-1,-1,-1,4,3,-1,4,4,-1,-1,4,2,-1,4,1,4,-1,1,-1,-1,-1,2,-1,4,2,3,-1
748b929276449add1cb3bb5985e85fa1,2,3,-1,1,1,-1,1,-1,4,2,1,-1,4,-1,1,-1,-1,-1,1,-1,2,-1,-1,-1,2,-1,2,-1,2,-1,-1,-1,-1,1,1,4,3,2,2,1,-1,2,-1,2,4,-1,1,-1,4,1,-1,1,1,4,3,-1,-1,-1,-1,-1
